Gazepoint Trace Data File,  07:05:20  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       528     360      7.62      2.4    -5.6    -0.7    31.3852    31.4043      778.4      0
    1        1       532     361      7.58      2.7     1.6    -1.7    31.3936    31.4132      748.6      0
    2        1       529     371      7.58      2.5     1.6    -1.6    31.4102    31.4298      748.3      0
    3        1       533     361      7.60      2.4     1.6    -1.3    31.4269    31.4465      748.2      0
    4        1       530     358      7.60      2.3     1.6    -1.1    31.4436    31.4632      748.2      0
    5        1       526     361      7.64      2.1     1.6    -0.8    31.4603    31.4800      748.2      0
    6        1       508     361      7.66      1.9     1.7    -0.5    31.4769    31.4966      748.2      0
    7        1       413     368      7.62      1.7     1.7    -0.9    31.4936    31.5133      748.2      1
    8        1       403     363      7.64      1.5     1.7    -0.7    31.5103    31.5298      748.2      1
    9        1       398     352      7.60      1.2     1.7    -1.0    31.5269    31.5466      748.1      1
   10        1       389     369      7.68      1.0     1.7    -0.6    31.5436    31.5632      748.1      1
   11        1       397     369      7.62      0.8     1.8    -0.7    31.5603    31.5798      748.1      1
   12        1       397     350      7.60      0.6     1.8    -0.9    31.5769    31.5965      748.1      1
   13        1       393     357      7.60      0.3     1.9    -1.0    31.5936    31.6132      748.1      1
   14        1       394     368      7.66      0.1     1.9    -0.7    31.6103    31.6298      748.1      1
   15        1       395     360      7.70     -0.0     1.9    -0.6    31.6269    31.6465      748.1      1
   16        1       397     355      7.60     -0.2     1.9    -1.9    31.6436    31.6632      748.1      1
   17        1       391     371      7.72     -0.4     1.9    -1.4    31.6603    31.6800      748.1      1
   18        1       393     371      7.72     -0.6     1.9    -0.7    31.6769    31.6966      748.2      1
   19        1       398     360      7.70     -0.7     1.9    -0.6    31.6936    31.7134      747.7      1
   20        1       398     350      7.66     -0.9     1.9    -1.4    31.7103    31.7302      747.4      1
   21        1       394     354      7.74     -1.0     1.9    -1.0    31.7269    31.7465      747.4      1
   22        1       392     346      7.70     -1.1     1.9    -1.0    31.7436    31.7632      747.4      1
   23        1       398     371      7.72     -1.2     1.9    -1.0    31.7603    31.7800      747.1      1
   24        1       402     365      7.72     -1.3     1.9    -0.8    31.7769    31.7965      746.9      1
   25        1       394     373      7.76     -1.4     2.0    -0.6    31.7936    31.8132      746.9      1
   26        1       394     350      7.68     -1.5     2.0    -0.8    31.8103    31.8298      746.9      1
   27        1       399     368      7.76     -1.6     2.0    -0.3    31.8269    31.8465      746.9      1
   28        1       396     358      7.70     -1.6     2.0    -0.5    31.8436    31.8631      746.9      1
   29        1       391     365      7.78     -1.7     2.0    -0.6    31.8603    31.8798      746.9      1
   30        1       395     346      7.74     -1.7     2.0    -0.7    31.8769    31.8965      746.9      1
   31        1       399     354      7.72     -1.7     2.0    -1.4    31.8936    31.9133      746.9      1
   32        1       403     357      7.78     -1.7     2.1    -1.2    31.9103    31.9298      746.9      1
   33        1       392     364      7.76     -1.7     2.1    -0.9    31.9269    31.9466      746.9      1
   34        1       468     416      7.88     -1.7     2.1    -0.9    31.9436    31.9633      746.7     -1
   35        1       624     541      7.84     -1.6     2.1    -1.3    31.9603    31.9799      746.7     -1
   36        1       709     624      7.84     -1.6     2.1    -0.7    31.9769    31.9968      746.7      2
   37        1       712     599      7.92     -1.5     2.0     0.2    31.9936    32.0132      746.7      2
   38        1       710     586      7.90     -1.4     2.0    -0.1    32.0103    32.0301      746.7      2
   39        1       712     622      7.90     -1.2     1.9    -0.2    32.0270    32.0466      746.8      2
   40        1       715     601      7.84     -1.1     1.8    -0.5    32.0436    32.0632      746.8      2
   41        1       712     595      7.88     -1.0     1.7    -1.0    32.0603    32.0800      746.8      2
   42        1       711     624      7.90     -0.8     1.7    -0.9    32.0770    32.0966      746.8      2
   43        1       714     608      7.88     -0.7     1.6    -0.8    32.0936    32.1133      746.8      2
   44        1       712     596      7.88     -0.5     1.5    -1.6    32.1103    32.1300      746.8      2
   45        1       713     609      7.88     -0.4     1.5    -1.4    32.1270    32.1466      746.8      2
   46        1       714     623      7.98     -0.2     1.5    -1.0    32.1436    32.1631      746.7      2
   47        1       713     623      7.98     -0.1     1.4    -0.1    32.1603    32.1799      746.3      2
   48        1       715     608      7.90      0.0     1.3    -1.4    32.1770    32.1966      746.1      2
   49        1       716     605      7.88      0.2     1.2    -2.1    32.1936    32.2133      746.1      2
   50        1       657     630      8.00      0.3     1.2    -1.6    32.2103    32.2299      746.0      2
   51        1       654     619      7.90      0.4     1.1    -2.4    32.2270    32.2466      745.4      2
   52        1       655     624      7.96      0.5     1.0    -2.0    32.2436    32.2633      744.9      2
   53        1       648     636      7.96      0.6     1.0    -1.1    32.2603    32.2798      744.6      2
   54        1       648     626      7.96      0.6     1.0    -0.9    32.2770    32.2965      744.2      2
   55        1       653     617      8.00      0.7     1.1    -0.6    32.2936    32.3132      744.1      2
   56        1       649     633      8.00      0.7     1.1    -0.0    32.3103    32.3298      744.1      2
   57        1       650     625      7.98      0.8     1.1    -0.6    32.3270    32.3466      744.1      2
   58        1       652     635      8.04      0.9     1.1     0.8    32.3436    32.3632      744.1      2
   59        1       651     627      8.02      0.9     1.1     0.6    32.3603    32.3800      744.1      2
   60        1       648     628      8.02      0.9     1.2     0.4    32.3770    32.3966      744.1      2
   61        1       644     620      8.04      1.0     1.2     1.2    32.3936    32.4132      744.7      2
   62        1       601     564      7.94      1.0     1.2    -0.2    32.4103    32.4300      745.1     -1
   63        1       536     428      7.90      1.0     1.2    -0.7    32.4270    32.4466      745.1     -1
   64        1       494     370      8.00      1.0     1.2    -0.5    32.4436    32.4632      745.4      3
   65        1       488     346      7.88      1.0     1.2    -1.6    32.4603    32.4799      745.0      3
   66        1       485     369      7.92      0.9     1.2    -1.2    32.4770    32.4966      744.9      3
   67        1       473     357      7.86      0.9     1.2    -1.3    32.4936    32.5131      744.8      3
   68        1       465     366      7.86      0.9     1.2    -1.1    32.5103    32.5300      744.3      3
   69        1       476     359      7.82      0.9     1.2    -1.4    32.5270    32.5466      744.1      3
   70        1       472     355      7.84      0.9     1.2    -1.1    32.5436    32.5633      744.1      3
   71        1       472     374      7.86      0.8     1.2    -0.8    32.5603    32.5799      744.1      3
   72        1       472     359      7.82      0.8     1.2    -0.6    32.5770    32.5966      744.1      3
   73        1       473     354      7.84      0.7     1.2    -0.8    32.5937    32.6133      744.1      3
   74        1       470     369      7.82      0.6     1.2    -0.9    32.6103    32.6299      744.1      3
   75        1       462     369      7.82      0.6     1.2    -1.0    32.6270    32.6465      743.9      3
