Presented Phrase: so much pollution that breathing is difficult
Entered Phrase: so much pollution that breathing is difficult
Index    Letter       Time       Seconds      Xpos       YPos   
0          s         0         77.132        213        412
1          o         784         77.916        1280        268
2          _         1304         78.436        320        700
3          m         1712         78.844        1066        556
4          u         2048         79.18        960        268
5          c         2681         79.813        426        556
6          h         3065         80.197        853        412
7          _         3705         80.837        320        700
8          p         4457         81.589        1440        268
9          o         4697         81.829        1280        268
10          l         5009         82.141        1333        412
11          l         5201         82.333        1333        412
12          u         5585         82.717        960        268
13          t         5985         83.117        640        268
14          i         6377         83.509        1120        268
15          k         6785         83.917        1173        412
16          bksp         7481         84.613        1600        268
17          o         8225         85.357        1280        268
18          n         8673         85.805        906        556
19          _         9145         86.277        320        700
20          t         9825         86.957        640        268
21          h         10097         87.229        853        412
22          a         10689         87.821        53        412
23          t         11273         88.405        640        268
24          _         11945         89.077        320        700
25          b         12265         89.397        746        556
26          r         12641         89.773        480        268
27          e         13305         90.437        320        268
28          a         13665         90.797        53        412
29          t         14241         91.373        640        268
30          h         14545         91.677        853        412
31          u         14969         92.101        960        268
32          bksp         15521         92.653        1600        268
33          i         15952         93.084        1120        268
34          n         16304         93.436        906        556
35          g         16600         93.732        693        412
36          _         17072         94.204        320        700
37          i         17656         94.788        1120        268
38          s         18216         95.348        213        412
39          _         18664         95.796        320        700
40          d         19032         96.164        373        412
41          i         19496         96.628        1120        268
42          f         19985         97.117        533        412
43          f         20177         97.309        533        412
44          i         20889         98.021        1120        268
45          c         21745         98.877        426        556
46          u         22593         99.725        960        268
47          l         23049         100.181        1333        412
48          t         23481         100.613        640        268
49          enter         24513         101.645        1493        412
