fixindx    X     Y     SacDur  FixDur  FixStart
  224     1727   331      0      140    12529
  225      771   361     11       32    12680
  226      857   356      0       11    12712
  227      762   322      0      110    12723
  228     1245   339      4       19    12837
  229     1356   338      0       93    12856
  230     1358   323     13      105    12962
  231      945   379      3       21    13070
  232      884   788      3      105    13094
  233      858   707     15       29    13214
  234      452   211      4       50    13247
  235      746   333      2      103    13299
  236      481   219      2       41    13404
  237      938   461      4       98    13449
  238     1112   349     13       24    13560
  239     1185   362      0       98    13584
  240      987   630      3      110    13685
  241      494   250      4       41    13799
  242      482   176      0       17    13840
  243      169   216      2       22    13859
  244      154   154      0        6    13881
  245      235   248      0       28    13887
  246     1630   478     17       69    13932
  247     1702   393      0       23    14001
  248     1627   510      0      121    14024
  249     1022   550      5       22    14150
  250      966   499      0       19    14172
  251      965   673      2      100    14193
  252      202   234      7       18    14300
  253      119    16      1       32    14319
  254      522   447      6       20    14357
  255      411   147      2       21    14379
  256      549   163      0       27    14400
  257      322   131      0       22    14427
  258       89   -23      5       30    14454
  259      302   507      6      111    14490
  260      176   144      3       40    14604
  261       76   272      0       13    14644
  262      986   351      8       16    14665
  263     1208   359      0       34    14681
  264     1320   353      0       86    14715
  265     1011   627      3      103    14804
  266      972   613     11       28    14918
  267      174   172      9       10    14955
  268      159   208      0       10    14965
  269      128   295      0       16    14975
  270       95   242      2       10    14993
  271      860   737      9      101    15012
  272     1582   422      6       22    15119
  273     1704   339      0       87    15141
  274     1746   318     15       95    15243
  275      178    34     12       14    15350
  276       84    76      4       12    15368
  277      889   782     17       98    15397
  278     1138   635      2       93    15497
  279     1041   399      2       13    15592
  280     1032   348      9       91    15614
  281      675   623      2       32    15707
  282      520   626      0      159    15739
  283      936   468      2      107    15900
  284      907   779      2       96    16009
  285      186   274      7       22    16112
  286      200   202      2       21    16136
  287     1125   392     10        7    16167
  288     1336   368      1       27    16175
  289     1465   365      0       90    16202
  290     1351   371      0       45    16292
  291     1345   360      2       92    16339
  292     1390   485     11      129    16442
  293     1390   502     13       89    16584
  294     1028   371      3       19    16676
  295      904   359      0       18    16695
  296     1045   344      0       98    16713
  297      756   317      1      100    16812
  298     1212   354      4       97    16916
  299     1351   360      0       87    17013
  300     1073   621      2       20    17102
  301      968   624      0       88    17122
  302      201   222      8       43    17218
  303      286   191      0       27    17261
  304      856   728     14       95    17302
  305      740   388      3       95    17400
  306      930   468     13       98    17508
  307      141   461      5      126    17611
  308      466   317      2       18    17739
  309      592   325      0       18    17757
  310      732   336      2      134    17777
  311      912   756     13       91    17924
  312     1271   369      4       20    18019
  313     1402   350      0       20    18039
  314     1483   351      0       61    18059
  315     1359   372      0       41    18120
  316     1497   350      0       24    18161
  317     1407   357      0       30    18185
  318     1499   358      0       90    18215
  319     1351   358      0      108    18305
  320     1409   506      0       97    18413
  321     1159   387      3       17    18513
