Gazepoint Trace Data File,  07:11:14  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
   74        1       146     174      7.63     -5.4     3.0     1.8    38.7169    38.7364        0.0      2
   75        1       152     191      7.57     -5.7     2.9     2.1    38.7252    38.7446        0.0      2
   76        1       147     187      7.51     -6.0     2.9     2.3    38.7335    38.7532        0.0      2
   77        1       148     190      7.49     -6.3     2.9     2.5    38.7419    38.7613        0.0      2
   78        1       146     185      7.47     -6.5     2.9     2.5    38.7502    38.7699        0.0      2
   79        1       148     173      7.44     -6.5     2.8     2.7    38.7585    38.7779        0.0      2
   80        1       146     180      7.38     -6.5     2.8     2.4    38.7669    38.7864        0.0      2
   81        1       143     171      7.37     -6.4     2.7     2.7    38.7752    38.7945        0.0      2
   82        1       141     173      7.35     -6.5     2.7     2.4    38.7835    38.8031        0.0      2
   83        1       146     207      7.28     -6.4     2.7     2.4    38.7919    38.8112        0.0      2
   84        1       139     194      7.27     -6.3     2.7     2.5    38.8002    38.8197        0.0      2
   85        1       140     170      7.29     -6.2     2.6     2.8    38.8085    38.8280        0.0      2
   86        1       142     171      7.29     -6.1     2.7     2.9    38.8169    38.8364        0.0      2
   87        1       139     155      7.27     -6.0     2.6     3.1    38.8252    38.8446        0.0      2
   88        1       142     154      7.23     -6.0     2.6     3.1    38.8335    38.8532        0.0      2
   89        1       139     147      7.22     -5.8     2.5     3.2    38.8419    38.8614        0.0      2
   90        1       109     141      7.20     -5.7     2.6     3.0    38.8502    38.8699        0.0      2
   91        1        76     159      7.17     -5.5     2.5     3.7    38.8585    38.8779        0.0      3
   92        1        66     148      7.16     -5.5     2.5     3.6    38.8669    38.8865        0.0      3
   93        1        73     108      7.17     -5.4     2.5     3.7    38.8752    38.8946        0.0      3
   94        1        71     102      7.16     -5.3     2.5     3.9    38.8836    38.9031        0.0      3
   95        1        74     108      7.13     -5.2     2.4     4.3    38.8919    38.9113        0.0      3
   96        1        70     104      7.12     -5.1     2.4     4.5    38.9002    38.9201        0.0      3
   97        1        68     136      7.10     -5.0     2.4     4.3    38.9086    38.9279        0.0      3
   98        1        72     144      7.08     -5.0     2.4     4.2    38.9169    38.9366        0.0      3
   99        1        65     109      7.08     -4.9     2.3     4.6    38.9252    38.9444        0.0      3
  100        1        66     104      7.07     -4.8     2.3     4.6    38.9336    38.9530        0.0      3
  101        1        68     118      7.04     -4.7     2.3     4.2    38.9419    38.9612        0.0      3
  102        1        61     113      7.06     -4.7     2.3     4.5    38.9502    38.9700        0.0      3
  103        1        63     106      7.06     -4.6     2.3     4.2    38.9586    38.9780        0.0      3
  104        1        66     112      7.02     -4.5     2.3     4.0    38.9669    38.9866        0.0      3
  105        1        58     123      7.01     -4.4     2.2     4.0    38.9752    38.9946        0.0      3
  106        1        56     125      7.04     -4.2     2.2     4.3    38.9836    39.0031        0.0      3
  107        1        56     111      7.02     -4.1     2.2     4.3    38.9919    39.0113        0.0      3
  108        1        57     101      7.00     -4.0     2.2     4.5    39.0002    39.0199        0.0      3
  109        1        62      97      7.00     -3.9     2.2     4.2    39.0086    39.0278        0.0      3
  110        1        60     103      6.99     -3.8     2.2     4.2    39.0169    39.0366        0.0      3
  111        1        59     113      6.97     -3.8     2.2     3.8    39.0252    39.0446        0.0      3
  112        1        59     102      6.97     -3.7     2.1     3.7    39.0336    39.0532        0.0      3
  113        1        60      97      6.98     -3.6     2.1     3.5    39.0419    39.0613        0.0      3
  114        1        61      98      6.98     -3.5     2.1     3.3    39.0502    39.0700        0.0      3
  115        1        62     111      6.97     -3.5     2.1     3.2    39.0586    39.0779        0.0      3
  116        1        59     109      6.95     -3.4     2.1     3.2    39.0669    39.0866        0.0      3
  117        1        55      89      6.99     -3.3     2.1     3.7    39.0752    39.0945        0.0      3
  118        1        59      94      6.97     -3.2     2.1     3.4    39.0836    39.1032        0.0      3
  119        1        62      95      6.94     -3.1     2.1     3.2    39.0919    39.1113        0.0      3
  120        1        60      87      6.98     -2.9     2.1     3.1    39.1002    39.1199        0.0      3
  121        1        75      88      6.98     -2.7     2.1     2.9    39.1086    39.1279        0.0      3
  122        1       158     107      6.97     -2.4     2.0     2.7    39.1169    39.1363        0.0     -1
  123        1       287     105      7.00     -2.2     2.1     2.6    39.1252    39.1448        0.0     -1
  124        1       445     132      7.00     -1.9     2.1     2.3    39.1336    39.1531        0.0     -1
  125        1       600     126      6.95     -1.6     2.2     1.7    39.1419    39.1613        0.0     -1
  126        1       739     126      6.92     -1.2     2.2     1.4    39.1502    39.1698        0.0     -1
  127        1       905     123      6.98     -0.8     2.3     1.1    39.1586    39.1779        0.0     -1
  128        1      1046     124      7.02     -0.3     2.2     1.1    39.1669    39.1863        0.0     -1
  129        1      1196     161      6.97      0.2     2.4     1.0    39.1752    39.1945        0.0     -1
  130        1      1314     189      6.96      0.8     2.3     0.9    39.1836    39.2029        0.0     -1
  131        1      1427     193      7.02      1.3     2.5     0.8    39.1919    39.2114        0.0     -1
  132        1      1527     225      6.97      2.0     2.4     0.8    39.2002    39.2196        0.0     -1
  133        1      1626     284      6.94      2.6     2.7     0.6    39.2086    39.2280        0.0     -1
  134        1      1669     302      6.97      3.3     2.6     0.6    39.2169    39.2364        0.0     -1
  135        1      1715     318      7.06      3.9     2.8    -0.0    39.2252    39.2446        0.0      4
  136        1      1720     310      7.10      4.6     2.7    -0.1    39.2336    39.2531        0.0      4
  137        1      1725     309      7.03      5.1     2.9    -0.3    39.2419    39.2613        0.0      4
  138        1      1723     314      7.02      5.7     2.8    -0.3    39.2502    39.2698        0.0      4
  139        1      1718     325      7.05      6.2     3.1    -0.8    39.2586    39.2780        0.0      4
  140        1      1714     319      7.07      6.6     3.0    -0.8    39.2669    39.2863        0.0      4
  141        1      1711     322      7.08      6.8     3.2    -1.7    39.2752    39.2946        0.0      4
  142        1      1715     313      7.04      7.0     3.1    -1.8    39.2836    39.3031        0.0      4
  143        1      1720     312      7.05      7.0     3.3    -1.9    39.2919    39.3113        0.0      4
  144        1      1717     337      7.05      7.0     3.2    -2.0    39.3002    39.3197        0.0      4
  145        1      1717     344      7.02      6.9     3.4    -3.6    39.3086    39.3279        0.0      4
  146        1      1719     326      7.05      6.8     3.2    -3.6    39.3169    39.3364        0.0      4
  147        1      1718     324      7.03      6.6     3.4    -5.6    39.3252    39.3447        0.0      4
  148        1      1717     335      7.04      6.5     3.2    -5.5    39.3336    39.3529        0.0      4
  149        1      1712     337      7.10      6.3     3.3    -5.2    39.3419    39.3614        0.0      4
  150        1      1709     332      7.11      6.2     3.1    -5.1    39.3502    39.3697        0.0      4
  151        1      1707     349      7.01      6.1     3.2    -7.6    39.3586    39.3780        0.0      4
  152        1      1711     345      7.00      6.1     3.0    -7.6    39.3669    39.3863        0.0      4
  153        1      1705     338      7.09      6.0     3.1    -6.8    39.3752    39.3945        0.0      4
  154        1      1707     335      7.11      6.0     3.0    -6.8    39.3836    39.4030        0.0      4
  155        1      1699     350      7.05      6.1     3.0    -8.1    39.3919    39.4115        0.0      4
  156        1      1696     366      7.04      6.2     2.9    -7.9    39.4002    39.4197        0.0      4
  157        1      1686     362      7.00      6.2     2.9    -9.5    39.4086    39.4280        0.0      4
  158        1      1728     357      7.03      6.3     2.7    -9.6    39.4169    39.4363        0.0      4
  159        1      1789     362      7.07      6.3     2.7    -9.2    39.4252    39.4446        0.0      5
  160        1      1810     360      7.06      6.3     2.6    -9.3    39.4336    39.4530        0.0      5
  161        1      1818     372      7.01      6.4     2.6    -9.9    39.4419    39.4613        0.0      5
  162        1      1815     374      7.03      6.4     2.5    -9.6    39.4503    39.4696        0.0      5
  163        1      1809     367      7.11      6.3     2.5    -8.6    39.4586    39.4779        0.0      5
  164        1      1806     370      7.10      6.3     2.4    -8.7    39.4669    39.4863        0.0      5
  165        1      1798     377      7.09      6.2     2.4    -7.8    39.4753    39.4947        0.0      5
  166        1      1802     365      7.10      6.1     2.2    -8.0    39.4836    39.5031        0.0      5
  167        1      1794     368      7.10      6.0     2.2    -6.3    39.4919    39.5114        0.0      5
  168        1      1794     378      7.10      5.9     2.1    -6.4    39.5003    39.5198        0.0      5
  169        1      1784     382      7.08      5.9     2.2    -5.4    39.5086    39.5281        0.0      5
  170        1      1787     370      7.10      5.7     2.0    -5.6    39.5169    39.5364        0.0      5
  171        1      1780     369      7.11      5.7     2.0    -4.3    39.5253    39.5446        0.0      5
  172        1      1779     369      7.11      5.6     1.9    -4.3    39.5336    39.5532        0.0      5
  173        1      1785     375      7.10      5.5     1.9    -3.0    39.5419    39.5613        0.0      5
  174        1      1782     379      7.11      5.3     1.8    -3.1    39.5503    39.5696        0.0      5
  175        1      1771     374      7.12      5.3     1.7    -2.4    39.5586    39.5780        0.0      5
  176        1      1776     380      7.11      5.3     1.6    -2.3    39.5669    39.5864        0.0      5
  177        1      1786     378      7.09      5.3     1.6    -1.7    39.5753    39.5947        0.0      5
  178        1      1786     375      7.12      5.3     1.6    -1.6    39.5836    39.6031        0.0      5
  179        1      1782     380      7.14      5.3     1.6    -0.7    39.5919    39.6114        0.0      5
  180        1      1778     386      7.13      5.3     1.5    -0.8    39.6003    39.6197        0.0      5
  181        1      1780     390      7.12      5.4     1.5    -0.8    39.6086    39.6281        0.0      5
  182        1      1783     390      7.17      5.4     1.5    -0.8    39.6169    39.6369        0.0      5
  183        1      1786     387      7.18      5.3     1.5    -0.7    39.6253    39.6446        0.0      5
  184        1      1790     385      7.17      5.3     1.4    -0.6    39.6336    39.6530        0.0      5
  185        1      1791     376      7.18      5.2     1.5    -0.5    39.6419    39.6612        0.0      5
  186        1      1789     368      7.19      5.2     1.4    -0.5    39.6503    39.6697        0.0      5
  187        1      1789     368      7.19      5.1     1.4    -0.7    39.6586    39.6782        0.0      5
  188        1      1789     370      7.19      5.0     1.4    -0.8    39.6669    39.6863        0.0      5
