fixindx    X     Y     SacDur  FixDur  FixStart
  227     1011   500      0       14     4710
  228      940   544      0       10     4724
  229      948   537      6       44     4740
  230      924   690      0       11     4784
  231      716  1021      1       18     4796
  232      279   184      3        8     4817
  233       67   151      1       10     4826
  234      -35   108      0        9     4836
  235      116    93      6        7     4851
  236     1483   433      8       10     4866
  237     1638   384      0        9     4876
  238     1501   372      0       19     4885
  239     1381   441      0       13     4904
  240      589   292      3       11     4920
  241      503   348      0       10     4931
  242      387   351      0       14     4941
  243      261   444      0       40     4955
  244       78   228      1       16     4996
  245      141   136      0        9     5012
  246      709   546      4       19     5025
  247     1261   343      3       28     5047
  248     1000   356      1        8     5076
  249      836   354      0       11     5084
  250      693   340      0       14     5095
  251      752   314      4        8     5113
  252     1660   348     10       13     5131
  253      564   352      7       39     5151
  254     1195   361      2       32     5192
  255      799   589      1       13     5225
  256      662   615      0       23     5238
  257     1149   337      2       24     5263
  258      408   473      6       20     5293
  259      372   370      0       10     5313
  260      275   305      7       10     5330
  261      158   252      0       26     5340
  262       95   274      0       13     5366
  263      213   370      0       10     5379
  264      251   159      1       12     5390
  265      711   296      2        7     5404
  266      794   331      0       10     5411
  267      862   353      0       11     5421
  268     1155   355      1       21     5433
  269     1014   357      6       22     5460
  270      556   336      1       18     5483
  271      219   242      1       29     5502
  272      632   604      3       15     5534
  273      360   416      1       58     5550
  274      279   207      1       17     5609
  275      402   169      0       22     5626
  276     -855  1350      4        8     5652
  277    -1381  1562      3        9     5663
  278      406   198     53        9     5725
  279      524   232      0        6     5734
  280      314   285      6       21     5746
  281      799   576      3       18     5770
  282      699   522      0        9     5788
  283      407   214      2        9     5799
  284     1593   365      4       15     5812
  285      890   648      2       19     5829
  286      721   522      1       11     5849
  287      582   505      1        9     5861
  288      455   500      0       12     5870
  289      416   210      1       37     5883
  290      445   489      1       22     5921
  291      268   469      1       14     5944
  292      576   362      2       15     5960
  293      425   361      0       14     5975
  294      422   209      1       37     5990
  295      486   154      0       15     6027
  296      632   704      2       20     6044
  297      695   601      0        9     6064
  298     1279   376      3       20     6076
  299      704   522      2       14     6098
  300      608   510      0       16     6112
  301      563   501      6       16     6134
  302      694   642      0       11     6150
  303      784   632      0       21     6161
  304     1125   393      1       21     6183
  305      800   382      1       10     6205
  306     1028   370      0       10     6215
  307      854   362      0       16     6225
  308      693   362      0       11     6241
  309      557   372      0       19     6252
  310      513   207      0       27     6271
  311      914   464      2       12     6300
  312      542   211      1       27     6313
  313     1579   396      4        9     6344
  314      736   350      7       35     6360
  315      541   215      1       35     6396
  316       68   226      1       13     6432
  317      150   243      0        7     6445
  318      278   224      0       15     6452
  319     1543   565      9       17     6476
  320     1570   512      0        8     6493
  321      862   512      8       14     6509
  322      928   602      0       14     6523
  323      955   497      0       24     6537
  324      964   405      0       22     6561
  325      299   159      3        8     6586
  326       45   101      0       17     6594
  327      154   154      0       13     6611
  328      230   135      0       13     6624
  329      445   197      1       11     6638
  330      571   172      0       21     6649
  331     1200   433      3       15     6673
  332     1143   367      0        8     6688
  333      596   513      4       14     6700
  334      502   501      0       23     6714
  335       69   207      2       10     6739
  336       39    94      0       15     6749
  337      380   376      2       36     6766
  338      249   344      0       16     6802
  339     1147   400      4       19     6822
  340      968   722     25       21     6866
  341      589   528      2       23     6889
  342      473   502      0       20     6912
  343     1279   415      3       24     6935
  344     1004   644      6       45     6965
  345     1345   384      3       16     7013
  346      886   372      2       11     7031
  347      691   380      0       16     7042
  348      160   270      2       16     7060
  349      245   172      0       10     7076
  350      779   673      3       13     7089
  351      406   481      2       21     7104
  352      726   407      1       10     7126
  353      904   402      1       21     7137
  354      747   570      1       13     7159
  355      602   619      0       10     7172
  356      482   600      0       17     7182
  357      418   413      1       26     7200
  358      260   239      0       48     7226
  359      288   181      0       15     7274
  360      467   393      2        8     7291
  361      331   415      0       31     7299
  362      416   187      1       19     7331
  363      741   623     14       10     7364
  364      768   378      1        8     7375
  365      658   425      0        6     7383
  366      619   489      0       10     7389
  367      582   402      0        6     7399
  368      887   367      1       12     7406
  369      998   467      0       14     7418
  370      970   627      5       20     7437
  371      887   540      0       14     7457
  372      742   447      1       15     7472
  373      804   425      5       41     7492
  374      406   373      2       15     7535
  375      405   250      0       13     7550
  376      458   105      0       14     7563
  377      491   498      1       15     7578
  378      544   374      0       21     7593
  379      847   359      1        9     7615
  380     1135   400      1       18     7625
  381      412   473      2       10     7645
  382      268   477      1       28     7656
  383     1241   508      4       20     7688
  384      508   210      8       19     7716
  385      526    94      0       15     7735
  386     1217   423      3       18     7753
  387      666   484      9        7     7780
  388      582   492      0        9     7787
  389      557   284      9       16     7805
  390      573   132      0       14     7821
  391      451   495     12       20     7847
  392      159   461      1       19     7868
  393      983   364      3       14     7890
  394     1061   374      0       12     7904
  395     1159   416      0       26     7916
  396      941   363      1       10     7943
  397      619   235      2       28     7955
  398      646   113      0       12     7983
  399      675   341      1       10     7996
  400      612   426      0        9     8006
  401      369   355     11       10     8026
  402      549   209      2        7     8038
  403      654   236      0       17     8045
  404     1620   495      4       33     8066
  405      902   530      3       26     8102
  406      487   325      5       18     8133
  407      922   640     14       12     8165
  408      937   489      0       26     8177
  409      970   422      0       18     8203
  410      452   269      3       16     8224
  411      185   282      1        8     8241
  412      130   208      0        6     8249
  413      295   228      1       17     8256
  414       56   -64      5        8     8278
  415      522   122     12       11     8298
  416      629    86      6       10     8315
  417     1621   428      5       12     8330
  418      914   891     15        6     8357
  419      771  1079      4       11     8367
  420     1814    78      7       29     8385
  421     1724   119      6        9     8420
  422      807   636      3        8     8432
  423      871   514      0       30     8440
  424      978   532      0       16     8470
