fixindx    X     Y     SacDur  FixDur  FixStart
  224      419   397      0        8    12535
  225      334   629      0      106    12543
  226      883   776     12       98    12661
  227      421   148      5       16    12764
  228      353   190      0       27    12780
  229      169   473      2       26    12809
  230      115   503      0      102    12835
  231      903   628      6       18    12943
  232      970   609     11       95    12972
  233      572   522      2       18    13069
  234      466   498      0      102    13087
  235      433   125      3       31    13192
  236      806   811     10       31    13233
  237      860   774      0      106    13264
  238      351   495     10       66    13380
  239      442   488      0       97    13446
  240      129   516      2       91    13545
  241      597   329      4       22    13640
  242      714   354      0       97    13662
  243      409   351      1      101    13760
  244      810   797     10       38    13871
  245      871   790      0       93    13909
  246     1333   376     12      128    14014
  247      761   479      4       54    14146
  248      604   491      0       99    14200
  249      845   771      2      155    14301
  250      813   628     10      105    14466
  251     1188   363     15       97    14586
  252      863   354      2       14    14685
  253      700   362      0       18    14699
  254      553   343      0       22    14717
  255      500   338      0       73    14739
  256      549   344     12        9    14824
  257      548   333      2       91    14835
  258      724   341      0      100    14926
  259      933   498      2      155    15028
  260      510   229      5       25    15188
  261      109   211      6       14    15219
  262      136   255      6       16    15239
  263      266   251      2       22    15257
  264      354   220      0       30    15279
  265      524   190      0       21    15309
  266     1607   466     12       35    15342
  267     1638   531      0      105    15377
  268      984   603      4       27    15486
  269      955   649      0       61    15513
  270      931   357      3       27    15577
  271      807   310      0       55    15604
  272      200   135      6       14    15665
  273      -23   -47      4       20    15683
  274     1403   294     17       23    15720
  275     1316   343      0       18    15743
  276     1194   346      0       97    15761
  277      558   365      4       18    15862
  278      541   478      0       20    15880
  279      603   481      0       95    15900
  280      882   762     15      101    16010
  281      401   338     13       59    16124
  282      267   374      0       26    16183
  283      230   326      2       20    16211
  284      234   346      2       68    16233
  285      213   344     11       40    16312
  286       89   256      0       24    16352
  287      266   342      2       17    16378
  288      419   369      6      110    16401
  289      124   248      2       24    16513
  290      189   169      0       14    16537
  291      871   855     22       28    16573
  292      862   767      0       99    16601
  293      517   567      2       19    16702
  294      453   484      0      126    16721
  295     1233   357      7       18    16854
  296     1339   378      0       93    16872
  297      880   789     13       92    16978
  298     1041   655      2       17    17072
  299      982   625      0       90    17089
  300     1223   344     11       18    17190
  301     1322   349      0       94    17208
  302      894   331      2       27    17304
  303      712   321      0      104    17331
  304      849   777     15       93    17450
  305      268   211      5       22    17548
  306      287    64      5       59    17575
  307      290   495      6       92    17640
  308      934   311     13       22    17745
  309     1023   345      0       91    17767
  310      521   610      3       95    17861
  311      483   627     14      105    17970
  312      492   640     13       94    18088
  313      435   494      0       32    18182
  314      410   369      0       21    18214
  315      308   180      3       19    18238
  316      311    64      0       24    18257
  317      380   310      2       22    18283
  318      397   290      2        6    18307
  319      216   160     10        8    18323
  320      236   192      0       20    18331
  321      331   302      0       18    18351
  322      368   347      4       52    18373
  323      405   317      2       53    18427
  324      415   330     15       20    18495
  325      361   321      2        6    18517
  326      440   314      0       34    18523
  327      403   322      2       48    18559
  328      392   323      2       49    18609
  329      411   345     21       40    18679
  330      459   319      2        6    18721
  331      370   323      2       12    18729
  332      397   302      8       16    18749
  333      368   335      9       21    18774
  334      433   367      4        6    18799
  335      372   343     10       16    18815
  336      419   323      0        8    18831
  337      387   355     10       26    18849
  338      453   360      9       17    18884
  339      411   340      4       32    18905
  340      397   353      2       18    18939
  341      356   281     18       10    18975
  342      423   343      0        6    18985
  343      346   286      0        8    18991
  344      238   165      2       14    19001
  345      388   348     22       92    19037
  346      396   351      2       37    19131
  347      270   262      0       13    19168
  348      309   162     12       21    19193
  349      388   358      3        8    19217
  350      375   341      2       10    19227
  351      386   341      2       16    19239
  352      404   369      2       10    19257
  353      383   338      2        6    19269
  354      383   364     16       92    19291
  355      284   247      2       36    19385
  356      440   475      1      105    19422
  357      274   257      3       21    19530
  358      823   749     15      104    19566
  359      352   384      4       19    19674
  360      230   394      0       67    19693
  361      352   -10      3       36    19763
  362      383   355      2       93    19801
  363      420   139      2       25    19896
  364      831   792     14       93    19935
  365      645   390     10       21    20038
  366      563   376      0       95    20059
  367     1042   341     10       90    20164
  368      824   626      3       44    20257
  369      977   641      0      116    20301
  370      870   794     15      101    20432
  371      486   224      5       25    20538
  372      443   168      4       23    20567
  373      634   366      4       27    20594
  374      726   359      0       90    20621
  375      929   479     19       91    20730
  376      408   368      5       95    20826
  377      899   758     11       93    20932
  378      640   492      3       38    21028
  379      560   371      0       94    21066
  380     1131   353      5       26    21165
  381     1198   370      0       87    21191
  382      383   530      7       17    21285
  383      297   505     10       96    21312
  384     1252   516     10       99    21418
  385      860   785      5       92    21522
  386      508   217      5       28    21619
  387      514   117      0       20    21647
  388      617    92      0       19    21667
  389     1241   377      7       15    21693
  390     1334   396      0       91    21708
  391      708   527      4       19    21803
  392      593   484      8      104    21830
  393      833   762      7       44    21941
  394      883   790      0       66    21985
  395      482   477      7       21    22058
  396      601   478      0       89    22079
  397      158   503      4       98    22172
  398     1017   344     12       66    22282
  399     1165   394      1       85    22349
  400      624   236      4       82    22438
  401      623   149      0       44    22520
  402     1087   391      6       16    22570
  403     1291   480      4       12    22590
  404     1399   512      0       92    22602
  405     1073   381      2       12    22696
  406      992   368     12      103    22720
  407     1717   377      6      124    22829
  408     1045   364      5       73    22958
  409      927   344      0       32    23031
  410      610   204      3       32    23066
  411      879   324      4       19    23102
  412     1014   356      0      114    23121
  413      733   356      1       28    23236
  414      632   351      0       28    23264
  415      640   189      0       32    23292
  416      648   106      0       38    23324
  417      505   365      3       40    23365
  418      551   335      9       21    23414
  419      529   548      0        6    23435
  420      533   359      0        6    23441
  421      532   355      4       52    23451
  422      532   360      4       14    23507
