Gazepoint Trace Data File,  07:00:14  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
   74        1       116     141      7.33     -5.1     2.0     3.7    32.4087    32.4286        0.0      2
   75        1       114     133      7.29     -5.0     1.9     3.8    32.4170    32.4359        0.0      2
   76        1       116     124      7.31     -5.0     1.9     4.1    32.4253    32.4455        0.0      2
   77        1       118     154      7.28     -5.0     1.9     3.6    32.4337    32.4527        0.0      2
   78        1       115     167      7.24     -5.0     1.9     3.5    32.4420    32.4622        0.0      2
   79        1       116     139      7.24     -4.9     1.8     3.8    32.4503    32.4693        0.0      2
   80        1       114     137      7.20     -4.9     1.8     3.5    32.4587    32.4786        0.0      2
   81        1       113     146      7.19     -4.9     1.7     3.5    32.4670    32.4859        0.0      2
   82        1       112     141      7.19     -4.8     1.7     3.4    32.4753    32.4954        0.0      2
   83        1       112     125      7.22     -4.8     1.6     3.6    32.4837    32.5026        0.0      2
   84        1       116     123      7.20     -4.8     1.6     3.6    32.4920    32.5120        0.0      2
   85        1       117     125      7.19     -4.8     1.5     3.9    32.5003    32.5192        0.0      2
   86        1       112     119      7.20     -4.8     1.5     4.2    32.5087    32.5287        0.0      2
   87        1       111     134      7.13     -4.7     1.4     3.8    32.5170    32.5360        0.0      2
   88        1       113     146      7.10     -4.7     1.4     3.5    32.5254    32.5452        0.0      2
   89        1       115     138      7.13     -4.6     1.3     3.6    32.5337    32.5527        0.0      2
   90        1       116     126      7.13     -4.5     1.3     3.6    32.5420    32.5622        0.0      2
   91        1       114     144      7.08     -4.5     1.3     3.2    32.5503    32.5692        0.0      2
   92        1       112     147      7.06     -4.5     1.3     3.1    32.5587    32.5784        0.0      2
   93        1       116     142      7.07     -4.4     1.3     2.8    32.5670    32.5859        0.0      2
   94        1       120     139      7.06     -4.3     1.3     2.9    32.5754    32.5952        0.0      2
   95        1       118     147      7.02     -4.1     1.2     2.5    32.5837    32.6026        0.0      2
   96        1       116     147      7.00     -4.1     1.2     2.6    32.5920    32.6119        0.0      2
   97        1       119     127      7.03     -4.0     1.2     2.6    32.6003    32.6193        0.0      2
   98        1       117     130      7.02     -3.8     1.2     2.5    32.6087    32.6288        0.0      2
   99        1       123     147      7.00     -3.7     1.2     2.3    32.6170    32.6359        0.0      2
  100        1       219     164      7.00     -3.6     1.2     1.9    32.6254    32.6455        0.0     -1
  101        1       342     122      7.04     -3.4     1.2     1.7    32.6337    32.6527        0.0     -1
  102        1       487     127      7.05     -3.2     1.2     1.6    32.6420    32.6618        0.0     -1
  103        1       647     154      6.97     -3.0     1.3     1.5    32.6503    32.6692        0.0     -1
  104        1       775     174      6.90     -2.7     1.3     1.6    32.6587    32.6785        0.0     -1
  105        1       910     148      6.91     -2.4     1.3     1.7    32.6670    32.6859        0.0     -1
  106        1      1022     159      6.95     -2.1     1.3     1.6    32.6754    32.6953        0.0     -1
  107        1      1143     194      6.93     -1.7     1.3     2.0    32.6837    32.7025        0.0     -1
  108        1      1248     225      6.90     -1.4     1.3     1.8    32.6920    32.7118        0.0     -1
  109        1      1332     257      6.96     -1.0     1.4     1.7    32.7003    32.7193        0.0      3
  110        1      1379     288      6.94     -0.6     1.3     1.5    32.7087    32.7284        0.0      3
  111        1      1409     316      6.92     -0.2     1.5     1.4    32.7170    32.7361        0.0      3
  112        1      1396     314      6.96      0.3     1.4     1.4    32.7254    32.7453        0.0      3
  113        1      1387     337      6.95      0.7     1.6     1.1    32.7337    32.7525        0.0      3
  114        1      1388     332      6.90      1.2     1.5     1.0    32.7420    32.7620        0.0      3
  115        1      1387     321      6.89      1.6     1.7     1.0    32.7503    32.7693        0.0      3
  116        1      1385     338      6.90      2.2     1.7     0.9    32.7587    32.7785        0.0      3
  117        1      1390     330      6.94      2.6     1.8     1.1    32.7670    32.7863        0.0      3
  118        1      1378     309      6.94      3.2     1.8     1.0    32.7754    32.7953        0.0      3
  119        1      1312     322      6.98      3.7     1.9     0.8    32.7837    32.8029        0.0     -1
  120        1      1221     334      7.01      4.2     1.9     0.8    32.7920    32.8120        0.0     -1
  121        1      1129     353      6.96      4.6     2.1     1.0    32.8003    32.8193        0.0      4
  122        1      1098     352      6.94      5.0     2.0     1.4    32.8087    32.8285        0.0      4
  123        1      1105     339      6.95      5.3     2.2     1.2    32.8170    32.8360        0.0      4
  124        1      1101     348      6.90      5.7     2.2     1.1    32.8254    32.8451        0.0      4
  125        1      1105     346      6.88      5.9     2.4     0.7    32.8337    32.8526        0.0      4
  126        1      1105     333      6.92      6.1     2.3     0.7    32.8420    32.8618        0.0      4
  127        1      1109     332      6.92      6.1     2.5     0.7    32.8503    32.8692        0.0      4
  128        1      1105     344      6.92      6.1     2.4     0.9    32.8587    32.8786        0.0      4
  129        1      1108     353      6.92      6.2     2.5     0.2    32.8670    32.8861        0.0      4
  130        1      1109     344      6.92      6.2     2.4     0.1    32.8754    32.8954        0.0      4
  131        1      1107     330      6.93      6.1     2.5     0.1    32.8837    32.9027        0.0      4
  132        1      1105     330      6.93      6.0     2.4    -0.0    32.8921    32.9120        0.0      4
  133        1      1103     337      6.89      5.9     2.5    -0.2    32.9004    32.9194        0.0      4
  134        1      1104     344      6.90      5.9     2.4     0.1    32.9087    32.9286        0.0      4
  135        1      1106     343      6.92      5.7     2.5    -0.5    32.9170    32.9360        0.0      4
  136        1      1107     345      6.92      5.6     2.4    -0.9    32.9254    32.9453        0.0      4
  137        1      1102     345      6.93      5.5     2.4    -0.9    32.9337    32.9527        0.0      4
  138        1      1101     338      6.92      5.4     2.3    -1.0    32.9421    32.9620        0.0      4
  139        1      1105     343      6.87      5.3     2.2    -1.8    32.9504    32.9693        0.0      4
  140        1      1104     342      6.91      5.2     2.1    -1.8    32.9587    32.9786        0.0      4
  141        1      1105     341      6.92      5.2     2.1    -2.6    32.9670    32.9861        0.0      4
  142        1      1105     336      6.91      5.1     2.0    -2.7    32.9754    32.9956        0.0      4
  143        1      1102     336      6.93      5.0     2.1    -3.2    32.9837    33.0027        0.0      4
  144        1      1105     346      6.93      5.0     2.0    -3.3    32.9921    33.0120        0.0      4
  145        1      1104     351      6.89      4.9     2.0    -4.0    33.0004    33.0194        0.0      4
  146        1      1101     343      6.94      5.0     1.9    -4.0    33.0087    33.0286        0.0      4
  147        1      1098     349      6.93      4.9     1.9    -4.0    33.0170    33.0360        0.0      4
  148        1      1096     357      6.90      4.9     1.9    -4.0    33.0254    33.0453        0.0      4
  149        1      1096     361      6.88      4.9     2.0    -4.3    33.0337    33.0527        0.0      4
  150        1      1102     359      6.90      4.8     2.0    -4.5    33.0421    33.0619        0.0      4
  151        1      1101     366      6.89      4.8     2.0    -4.5    33.0504    33.0694        0.0      4
  152        1      1104     358      6.92      4.7     1.9    -4.2    33.0587    33.0788        0.0      4
