Gazepoint Trace Data File,  06:44:00  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       978     619      7.84      1.6     6.0    -1.9    30.5328    30.5518      741.4      0
    1        1       978     608      7.84      1.4     6.0    -1.9    30.5495    30.5688      741.3      0
    2        1       982     609      7.82      1.2     6.0    -2.4    30.5661    30.5852      741.3      0
    3        1       976     624      7.80      0.9     6.0    -2.4    30.5828    30.6021      741.3      0
    4        1       982     647      7.84      0.6     6.0    -1.6    30.5995    30.6186      741.2      0
    5        1       982     628      7.82      0.2     6.1    -1.5    30.6161    30.6352      740.9      0
    6        1       903     617      7.82     -0.3     6.2    -1.2    30.6328    30.6519      740.6     -1
    7        1       715     494      7.82     -0.9     6.3    -0.7    30.6495    30.6685      740.6     -1
    8        1       547     403      7.72     -1.7     6.4    -0.6    30.6661    30.6852      740.6     -1
    9        1       409     330      7.74     -2.5     6.4    -0.6    30.6828    30.7019      740.6      1
   10        1       410     326      7.72     -3.3     6.5    -1.0    30.6995    30.7187      740.6      1
   11        1       399     339      7.72     -4.1     6.5    -0.8    30.7161    30.7353      740.6      1
   12        1       388     361      7.66     -4.9     6.6    -1.0    30.7328    30.7528      740.5      1
   13        1       390     358      7.70     -5.5     6.6    -0.7    30.7495    30.7688      740.4      1
   14        1       390     341      7.64     -6.1     6.6    -0.8    30.7661    30.7854      740.4      1
   15        1       381     347      7.62     -6.4     6.6    -0.8    30.7828    30.8021      740.4      1
   16        1       387     364      7.66     -6.3     6.6    -0.6    30.7995    30.8191      740.4      1
   17        1       384     353      7.64     -6.3     6.6    -0.6    30.8161    30.8352      740.4      1
   18        1       378     361      7.66     -6.2     6.6    -0.3    30.8328    30.8520      740.4      1
   19        1       381     355      7.62     -6.2     6.6    -0.2    30.8495    30.8686      740.4      1
   20        1       386     340      7.60     -6.1     6.6    -0.9    30.8662    30.8852      740.4      1
   21        1       380     343      7.58     -6.0     6.6    -1.0    30.8828    30.9018      740.4      1
   22        1       379     365      7.60     -6.0     6.7    -1.1    30.8995    30.9190      740.5      1
   23        1       301     359      7.62     -6.1     6.7    -0.9    30.9162    30.9352      740.5      2
   24        1       290     352      7.56     -6.1     6.8    -0.8    30.9328    30.9519      740.5      2
   25        1       286     353      7.56     -6.1     6.8    -1.0    30.9495    30.9688      740.5      2
   26        1       288     373      7.54     -6.1     6.9    -0.9    30.9662    30.9853      740.5      2
   27        1       283     373      7.54     -6.0     7.0    -0.8    30.9828    31.0021      740.5      2
   28        1       283     358      7.50     -6.0     7.0    -0.7    30.9995    31.0187      740.5      2
   29        1       287     349      7.48     -5.9     7.0    -1.5    31.0162    31.0352      740.4      2
   30        1       288     352      7.54     -5.8     7.1    -1.7    31.0328    31.0519      740.4      2
   31        1       291     365      7.54     -5.8     7.2    -1.7    31.0495    31.0688      740.5      2
   32        1       293     362      7.52     -5.9     7.2    -1.4    31.0662    31.0854      740.1      2
   33        1       247     358      7.50     -5.9     7.3    -1.2    31.0828    31.1021      740.1      2
   34        1       119     263      7.54     -5.9     7.3    -1.0    31.0995    31.1186      740.1     -1
   35        1        55     198      7.52     -5.8     7.2    -0.8    31.1162    31.1356      740.1      3
   36        1        43     179      7.56     -5.7     7.2    -0.5    31.1328    31.1520      740.1      3
   37        1        41     184      7.54     -5.7     7.2    -0.3    31.1495    31.1686      740.1      3
   38        1        38     193      7.50     -5.7     7.2    -0.4    31.1662    31.1852      740.1      3
   39        1        38     180      7.50     -5.7     7.2    -0.9    31.1828    31.2020      740.1      3
   40        1        33     186      7.48     -5.8     7.2    -0.9    31.1995    31.2188      740.1      3
   41        1        38     189      7.46     -5.8     7.2    -1.5    31.2162    31.2353      740.1      3
   42        1        36     187      7.50     -5.8     7.2    -1.1    31.2328    31.2520      740.1      3
   43        1        40     202      7.48     -5.8     7.3    -0.9    31.2495    31.2688      740.0      3
   44        1        39     196      7.48     -5.8     7.3    -0.8    31.2662    31.2852      739.7      3
   45        1        33     201      7.42     -5.8     7.3    -0.5    31.2828    31.3022      739.7      3
   46        1        43     188      7.48     -5.7     7.4    -0.5    31.2995    31.3188      739.7      3
   47        1        49     176      7.46     -5.7     7.4    -0.7    31.3162    31.3353      739.7      3
   48        1        75     101      7.42     -5.7     7.4    -0.7    31.3328    31.3523      739.7      4
   49        1        77      74      7.46     -5.7     7.4     0.1    31.3495    31.3688      739.7      4
   50        1        81      74      7.42     -5.7     7.4     0.1    31.3662    31.3854      739.5      4
   51        1        81      69      7.40     -5.7     7.4    -0.2    31.3829    31.4023      739.5      4
   52        1        76      64      7.40     -5.7     7.4    -0.6    31.3995    31.4188      739.5      4
   53        1        78      62      7.40     -5.8     7.5    -0.7    31.4162    31.4355      739.5      4
   54        1        80      61      7.42     -5.9     7.5    -0.6    31.4329    31.4520      739.5      4
   55        1        77      62      7.40     -6.0     7.5    -0.6    31.4495    31.4687      739.5      4
   56        1        83      62      7.38     -6.1     7.5    -0.9    31.4662    31.4853      739.5      4
   57        1        83      74      7.38     -6.1     7.5    -0.9    31.4829    31.5021      739.5      4
   58        1        82      68      7.38     -6.1     7.5    -0.8    31.4995    31.5187      739.5      4
   59        1        78      57      7.38     -6.1     7.5    -0.7    31.5162    31.5357      739.5      4
   60        1        81      56      7.34     -5.8     7.5    -1.0    31.5329    31.5522      739.5      4
   61        1        79      66      7.32     -5.7     7.5    -1.4    31.5495    31.5687      739.5      4
   62        1        79      79      7.34     -5.5     7.5    -1.4    31.5662    31.5854      739.5      4
   63        1        78      60      7.34     -5.3     7.5    -1.3    31.5829    31.6022      739.5      4
   64        1       250     237      7.40     -5.2     7.6    -1.1    31.5995    31.6188      739.5     -1
   65        1       407     430      7.42     -5.1     7.6    -0.8    31.6162    31.6353      739.5     -1
   66        1       513     556      7.42     -5.0     7.6    -0.8    31.6329    31.6520      739.5     -1
   67        1       598     635      7.36     -4.7     7.6    -0.8    31.6495    31.6686      739.5      5
   68        1       617     611      7.40     -4.5     7.5    -1.8    31.6662    31.6853      739.5      5
   69        1       625     611      7.38     -4.1     7.5    -1.8    31.6829    31.7020      739.5      5
   70        1       622     638      7.40     -3.8     7.4    -1.4    31.6995    31.7186      739.5      5
   71        1       622     619      7.42     -3.4     7.3    -2.0    31.7162    31.7352      739.0      5
   72        1       620     614      7.40     -3.0     7.3    -2.6    31.7329    31.7521      738.8      5
   73        1       622     623      7.40     -2.5     7.2    -2.2    31.7495    31.7687      738.7      5
   74        1       619     639      7.40     -2.1     7.1    -1.7    31.7662    31.7854      738.3      5
   75        1       620     612      7.46     -1.6     7.0    -1.9    31.7829    31.8021      737.6      5
   76        1       660     634      7.44     -1.1     7.0    -1.5    31.7996    31.8186      737.4      5
   77        1       653     612      7.42     -0.6     6.8    -1.9    31.8162    31.8352      737.4      5
   78        1       648     628      7.48     -0.1     6.7    -1.6    31.8329    31.8521      737.4      5
   79        1       652     609      7.46      0.5     6.6    -2.1    31.8496    31.8686      737.3      5
   80        1       655     616      7.48      1.0     6.5    -2.3    31.8662    31.8853      737.1      5
   81        1       653     638      7.54      1.4     6.4    -2.2    31.8829    31.9021      737.0      5
   82        1       652     632      7.54      1.7     6.3    -2.2    31.8996    31.9186      736.8      5
