fixindx    X     Y     SacDur  FixDur  FixStart
    0      979   622      0        6        0
    1      388   348      3       14        9
    2      285   359      0       11       23
    3       40   189      1       13       35
    4       79    68      0       16       48
    5      638   621      3       21       67
    6      548   350      2       51       90
    7      771   774      3       23      144
    8      769   327      2       37      169
    9     1324   342      2       48      208
   10      983   671      2       26      258
   11      998   605      0       20      284
   12      239   104      3       24      307
   13      740   373      3       13      334
   14      612   341      0       24      347
   15     1076   330      2       31      373
   16      746   565      1       15      405
   17      545   629      5       22      425
   18      932   457      2       31      449
   19      890   686      1       16      481
   20      310   492      2       11      499
   21      209   478      0       13      510
   22      193   187      1       11      524
   23      297   121      0       15      535
   24      871   562      3       20      553
   25      785   471      0       10      573
   26      626   495      1       12      584
   27      485   490      0       15      596
   28      313   236      1       15      612
   29      370   104      0       15      627
   30      736   728      7        8      649
   31      834   601      0        9      657
   32      945   614      0       16      666
   33      547   363      2       10      684
   34      425   357      0       36      694
   35      353   214      1       14      731
   36     1672   356      5       22      750
   37      753   597      3       10      775
   38      481   345      2       15      787
   39      554   343      0       15      802
   40      749   590      1       15      818
   41      681   619      0       13      833
   42      605   388      0       26      846
   43      360   228      1       45      873
   44      433   120      1       11      919
   45      671   361      1       22      931
   46      739   350      0       18      953
   47     1305   342      2       31      973
   48      878   695      2       17     1006
   49      878   378      1       14     1024
   50      760   368      0       18     1038
   51      935   488      1       19     1057
   52     1036   363      1       16     1077
   53     1113   327      0        6     1093
   54      484   207      2       29     1101
   55      991   577      4       27     1134
   56     1517   628      2       11     1163
   57     1593   483     13       12     1187
   58     1395   463      0       12     1199
   59      939   480      2       70     1213
   60      982   387      6       22     1289
   61     1144   371      0       49     1311
   62      986   447      1       24     1361
   63     1038   543      0       23     1385
   64     1264   394      1       19     1409
   65     1002   531      1       18     1429
   66      989   598      0       38     1447
   67      795   571      0       23     1485
   68      960   555      0       37     1508
   69     1840    71      4       13     1549
   70     1789    66      7       14     1569
   71     1220   291      6        9     1589
